term,estimate,std_error,statistic,p_value,ci_low,ci_high,class_label,param_type
panelist.abv_preference,3.3846517882691236,2.8045626379260105,1.2068376517958936,0.22749467266647594,-2.1121899744525043,8.88149355099075,,slope
panelist.adventurousness,34.39165840000554,10.806380861004133,3.1825325094834622,0.0014599312522606178,13.211541109214501,55.57177569079658,,slope
panelist.beer_style_affinity.ipa,45.77914966778802,10.77934947530071,4.246930649450061,2.1671900467681268e-05,24.652012919427897,66.90628641614813,,slope
panelist.beer_style_affinity.lager,40.17327655215918,10.150733277640494,3.957672362513039,7.56836718822729e-05,20.278204911311594,60.06834819300677,,slope
panelist.beer_style_affinity.sour,10.87938416924567,2.5178127849025302,4.320966290457069,1.5534740723087692e-05,5.944561791022217,15.814206547469123,,slope
panelist.beer_style_affinity.stout,4.738321715013642,1.426076813863854,3.3226272729135085,0.0008917398071678686,1.943262520652858,7.533380909374426,,slope
panelist.beer_style_affinity.wheat,4.213896798448438,2.472603519641193,1.7042347327322132,0.08833724278762356,-0.6323170480952767,9.060110644992154,,slope
panelist.bitterness_tolerance,-5.91562977771146,3.032033705024714,-1.9510435414711993,0.05105186643540297,-11.85830663947144,0.02704708404852152,,slope
panelist.price_sensitivity,-5.9110999879909,2.985790381120338,-1.9797437976114443,0.04773232449616977,-11.763141600372883,-0.0590583756089158,,slope
panelist.sweetness_preference,8.899421060117973,3.416600955469732,2.60475869910141,0.009193898447930055,2.2030062378521613,15.595835882383785,,slope
product.abv,-5.4161585434213455,3.0485914760794395,-1.7766101446910338,0.07563240536395757,-11.391288040112848,0.5589709532701574,,slope
product.color_srm,-0.9642606706011152,0.938868308499484,-1.0270457122386139,0.3043989396915274,-2.8044087414861445,0.8758874002839141,,slope
product.flavor_profile.acidity,2.3860716300282507,2.919273822400464,0.8173510863281159,0.41372782002702013,-3.3355999228872375,8.10774318294374,,slope
product.flavor_profile.aroma_intensity,14.478316771810139,33.84628235828395,0.4277668258672592,0.6688208916591111,-51.859177660999805,80.81581120462009,,slope
product.flavor_profile.bitterness,-34.86608425365345,25.10205929015529,-1.388973065939952,0.16484094041356356,-84.06521640014688,14.333047892839993,,slope
product.flavor_profile.body,33.38306929495094,16.13330238937597,2.069202478776708,0.03852709021859677,1.7623776600800412,65.00376092982185,,slope
product.flavor_profile.sweetness,13.602814976935777,40.25344713058804,0.3379291948042677,0.7354165461549175,-65.29249165260397,92.49812160647552,,slope
product.ibu,0.8325846450668626,0.5725174852624108,1.4542519075819165,0.14587647856286529,-0.2895290065669036,1.9546982967006288,,slope
panelist.age_group_30-39,5.277228485127791,1.5331527911583005,3.4420760380580417,0.0005772679596922928,2.2723042316604634,8.28215273859512,,slope
panelist.age_group_40-49,25.28782411658452,6.0192537115519205,4.2011560449849625,2.6555546701752007e-05,13.49030362813371,37.08534460503533,,slope
panelist.age_group_50-64,69.96899193088231,17.341645916791478,4.0347376636916055,5.466333627399569e-05,35.97999050132493,103.9579933604397,,slope
panelist.age_group_65+,38.011515273954316,8.570536009305728,4.435138622914847,9.20130613364011e-06,21.213573367511447,54.80945718039719,,slope
panelist.gender_male,6.372463711751472,2.08822001224581,3.051624672870606,0.0022760650537381427,2.279627695953894,10.465299727549048,,slope
panelist.gender_nonbinary,-3.949671736508548,2.4833200073632833,-1.5904803749808283,0.11172656582257057,-8.816889513028325,0.9175460400112296,,slope
panelist.gender_prefer_not_say,-14.382422993884392,3.945896002972136,-3.6449067545245066,0.00026748876727068863,-22.116237046450333,-6.648608941318451,,slope
panelist.income_bracket_150k+,-24.53902756583246,6.759842016333731,-3.6301185007784325,0.00028329113081007384,-37.78807445902719,-11.289980672637727,,slope
panelist.region_Northeast,-13.68388596290688,3.460260594093696,-3.9545824919267196,7.666841629880313e-05,-20.465872104453695,-6.901899821360065,,slope
0/1,81.64017261591898,32.67955290954561,2.4982034742608765,0.012482452347217394,17.589425882338446,145.69091934949952,,threshold
1/2,1.2817893854256208,0.40962409094989277,3.129184571281516,0.0017529216246221393,0.47894091996387145,2.08463785088737,,threshold
2/3,0.5015347380570572,0.3730020727209497,1.3445896812274962,0.17875777747613197,-0.2295358906347944,1.2326053667489087,,threshold
