term,estimate,std_error,statistic,p_value,ci_low,ci_high,class_label,param_type
const,3.36449226234142,0.5814938634750477,5.785946290533455,1.4184273074275332e-05,2.1474116185973506,4.581572906085489,,intercept
panelist_id_p0002,-0.30302460388200403,0.40586235725421466,-0.7466191393852337,0.46443270081500054,-1.1525042803939152,0.5464550726299072,,slope
panelist_id_p0003,-0.3329116882806163,0.48257856733399285,-0.6898600783698046,0.4986224369622184,-1.342960237852541,0.6771368612913085,,slope
panelist_id_p0004,-0.88018185675832,0.4059165770356636,-2.168381156507899,0.043031704473779804,-1.7297750165770287,-0.030588696939611304,,slope
panelist_id_p0005,0.6670883117193843,0.48257856733399374,1.3823413571902188,0.182902138994404,-0.34296023785254215,1.6771368612913107,,slope
panelist_id_p0006,-0.45720403828780376,0.17970462936911594,-2.544197330324195,0.019801197505532404,-0.833330150245885,-0.0810779263297225,,slope
panelist_id_p0007,-0.46029391120614055,0.27232234291529667,-1.6902539331828188,0.1073200869145689,-1.030271125480672,0.10968330306839097,,slope
panelist_id_p0008,1.0004216450527152,0.4825785673339941,2.0730751690435527,0.05200845339100011,-0.00962690451921211,2.0104701946246424,,slope
panelist_id_p0009,-0.002668227865621764,0.5534340449440616,-0.004821221047020075,0.996203498614332,-1.1610189964620063,1.1556825407307627,,slope
panelist_id_p0010,-0.9995783549472804,0.48257856733399324,-2.0713277020764806,0.05218781488173435,-2.0096269045192057,0.010470194624644935,,slope
panelist_id_p0011,-0.1238707049544691,0.17970462936911738,-0.6893016912771672,0.4989658435676152,-0.4999968169125534,0.25225540700361515,,slope
panelist_id_p0012,-0.7722907746522967,0.40076425853707803,-1.927045035082253,0.06906260331710135,-1.611100007917493,0.06651845861289973,,slope
panelist_id_p0013,0.00042164505271743286,0.4825785673339941,0.0008737334835378443,0.999311970259952,-1.00962690451921,1.0104701946246448,,slope
panelist_id_p0014,-1.3217562106277194,0.6008739161688039,-2.1997230617952095,0.04040365419612068,-2.5793997708355203,-0.06411265041991876,,slope
panelist_id_p0015,-1.6693348945322892,0.553434044944061,-3.0163212938969433,0.007100290646786551,-2.8276856631286726,-0.5109841259359058,,slope
panelist_id_p0016,-0.6430991181012367,0.19076133478299,-3.37122362261108,0.0032064129325445638,-1.0423671804530623,-0.24383105574941089,,slope
panelist_id_p0017,0.6666666666666611,6.422472384588328e-15,103802185006887.11,1.2505103373663186e-255,0.6666666666666476,0.6666666666666745,,slope
panelist_id_p0018,0.33066510546771233,0.5534340449440606,0.5974787935229662,0.5572422213813869,-0.8276856631286702,1.4890158740640949,,slope
panelist_id_p0019,-0.33600156119895475,0.5534340449440613,-0.6071212356170035,0.550957637857344,-1.4943523297953387,0.8223492073974293,,slope
panelist_id_p0020,-1.0605970675951688,0.5218243303720064,-2.032479142624633,0.05632210187983329,-2.1527879432392627,0.031593808048924865,,slope
product_id_prod_0002,0.18305613794365871,0.6657424036007472,0.27496541748516806,0.7863105700334947,-1.2103587268322795,1.5764710027195967,,slope
product_id_prod_0003,0.6325408866780883,0.6231182350163305,1.015121771651428,0.32280104761542683,-0.6716605679515125,1.936742341307689,,slope
product_id_prod_0004,-0.1978255956747507,0.6345916739585147,-0.3117368282516786,0.7586354308784495,-1.5260412339971277,1.130390042647626,,slope
product_id_prod_0005,-0.5281920780275924,0.5799050902055425,-0.9108250418018906,0.37379881358903133,-1.7419473811015864,0.6855632250464017,,slope
product_id_prod_0006,-0.26852824137106346,0.35228674750722505,-0.7622433806300256,0.45527390619804087,-1.0058728779529358,0.46881639521080876,,slope
product_id_prod_0007,0.9572639482862954,0.4604882949876751,2.0788019124610244,0.05142455116796921,-0.006549129896356587,1.9210770264689474,,slope
product_id_prod_0009,-0.8262134808113584,0.3699740920024719,-2.233165777472435,0.03776214139363179,-1.6005781548803877,-0.051848806742328946,,slope
product_id_prod_0010,-0.5922014876891268,0.49777455136764454,-1.1896981998417608,0.24881981896565014,-1.6340555973738884,0.4496526219956347,,slope
